case_id	shape	types	state	terminal	ceiling	authority	signer	reentry	event	reason
deeper.grounding_relation	one_case	grounding_relation	reentry_provisional_refusal	deeper	permitted	false	empty	performed	none	demanding_predicate_still_refused
provisional.estimand_binding	one_case	estimand_binding	reentry_provisional_refusal	provisional	permitted	false	empty	performed	none	demanding_predicate_still_refused
deeper.estimand_binding	one_case	estimand_binding	reentry_provisional_refusal	deeper	permitted	false	empty	performed	none	demanding_predicate_still_refused
provisional.owner_writability	one_case	owner_writability	reentry_provisional_refusal	provisional	permitted	false	empty	performed	none	demanding_predicate_still_refused
deeper.owner_writability	one_case	owner_writability	reentry_provisional_refusal	deeper	permitted	false	empty	performed	none	demanding_predicate_still_refused
provisional.legal_mandate	one_case	legal_mandate	reentry_provisional_refusal	provisional	permitted	false	empty	performed	none	demanding_predicate_still_refused
deeper.legal_mandate	one_case	legal_mandate	reentry_provisional_refusal	deeper	permitted	false	empty	performed	none	demanding_predicate_still_refused
provisional.normative_authorization	one_case	normative_authorization	reentry_provisional_refusal	provisional	permitted	false	empty	performed	none	demanding_predicate_still_refused
deeper.normative_authorization	one_case	normative_authorization	reentry_provisional_refusal	deeper	permitted	false	empty	performed	none	demanding_predicate_still_refused
provisional.implementation_capacity_evidence	one_case	implementation_capacity_evidence	reentry_provisional_refusal	provisional	permitted	false	empty	performed	none	demanding_predicate_still_refused
deeper.implementation_capacity_evidence	one_case	implementation_capacity_evidence	reentry_provisional_refusal	deeper	permitted	false	empty	performed	none	demanding_predicate_still_refused
provisional.competent_human_decision	one_case	competent_human_decision	reentry_provisional_refusal	provisional	permitted	false	empty	performed	none	demanding_predicate_still_refused
deeper.competent_human_decision	one_case	competent_human_decision	reentry_provisional_refusal	deeper	permitted	false	empty	performed	none	demanding_predicate_still_refused
provisional.independent_audit	one_case	independent_audit	reentry_provisional_refusal	provisional	permitted	false	empty	performed	none	demanding_predicate_still_refused
deeper.independent_audit	one_case	independent_audit	reentry_provisional_refusal	deeper	permitted	false	empty	performed	none	demanding_predicate_still_refused
reentry.grounding_relation	one_case	grounding_relation	reentry_closed	none	permitted	false	empty	performed	targeted	-
reentry.estimand_binding	one_case	estimand_binding	reentry_provisional_refusal	none	permitted	false	empty	performed	historical_only	demanding_predicate_still_refused
reentry.owner_writability	one_case	owner_writability	reentry_closed	none	permitted	false	empty	performed	idempotent_duplicate	-
reentry.legal_mandate	one_case	legal_mandate	reentry_provisional_refusal	none	permitted	false	empty	performed	conflict_refused	demanding_predicate_still_refused
reentry.normative_authorization	one_case	normative_authorization	admission_refused	none	permitted	false	empty	absent	owner_unavailable	independent_owner_verification_missing_or_refused
reentry.implementation_capacity_evidence	one_case	implementation_capacity_evidence	reentry_provisional_refusal	none	permitted	false	empty	performed	producer_refused	demanding_predicate_still_refused
reentry.competent_human_decision	one_case	competent_human_decision	reentry_provisional_refusal	none	permitted	false	empty	performed	limited_refused	demanding_predicate_still_refused
reentry.independent_audit	one_case	independent_audit	admission_refused	none	refused:exact_controls	false	empty	absent	rule_revalidation	ceiling_refused
ceiling.grounding_relation	one_case	grounding_relation	admission_refused	none	refused:population	false	empty	absent	none	ceiling_refused
ceiling.estimand_binding	one_case	estimand_binding	admission_refused	none	refused:jurisdiction	false	empty	absent	none	ceiling_refused
ceiling.owner_writability	one_case	owner_writability	admission_refused	none	refused:purpose_audience	false	empty	absent	none	ceiling_refused
ceiling.legal_mandate	one_case	legal_mandate	admission_refused	none	refused:source_target_context	false	empty	absent	none	ceiling_refused
ceiling.normative_authorization	one_case	normative_authorization	admission_refused	none	refused:evidence_class	false	empty	absent	none	ceiling_refused
ceiling.implementation_capacity_evidence	one_case	implementation_capacity_evidence	admission_refused	none	refused:maintained_assumptions	false	empty	absent	none	ceiling_refused
ceiling.competent_human_decision	one_case	competent_human_decision	admission_refused	none	refused:maximum_claim_strength	false	empty	absent	none	ceiling_refused
ceiling.independent_audit	one_case	independent_audit	admission_refused	none	refused:maximum_commitment_stage	false	empty	absent	none	ceiling_refused
capstone.education	one_case	estimand_binding	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
capstone.first_vertical	split_required	grounding_relation,owner_writability	split_required	none	not_evaluated	false	empty	absent	none	split_required
capstone.unseen	not_established	-	shape_not_established	none	not_evaluated	false	empty	absent	none	not_established
